,TSC22D1,KLF1,MAP2K6,CEBPE,RUNX1T1,MAML2,CBL,PTPN9,TGFBR2,ETS2,SGK1,TBX3,DUSP9,SPI1,ELMSAN1,UBASH3B,PTPN12,FOXA1,FOXA3,IGDCC3,BCORL1,MEIS1,GLB1L2,IKZF3,BAK1,FEV,MAP2K3,SLC38A2,SET,LHX1,TBX2,SLC4A1,RREB1,ZNF318,MAPK1,COL2A1,ZBTB25,MAP4K5,SLC6A9,MIDN,OSR2,DLX2,CBFA2T3,HES7,FOXL2,AHR,FOXO4,RHOXF2BB,S1PR2,POU3F2,LYL1,IER5L,CNN1,CELF2,JUN,CEBPA,MAP4K3,ZC3HAV1,CDKN1A,UBASH3A,PRTG,PTPN1,TP73,MAP7D1,FOSB,C19orf26,IRF1,TMSB4X,BPGM,SAMD1,HOXB9,HOXC13,CKS1B,CLDN6,KIF18B,KIF2C,BCL2L11,COL1A1,CEBPB,FOXF1,ZBTB1,PLK4,ARRDC3,C3orf72,KIAA1804,HNF4A,SNAI1,KMT2A,ISL2,CSRNP1,ARID1A,CNNM4,NCL,ZBTB10,STIL,ATL1,NIT1,CDKN1B,PTPN13,HOXA13,CITED1,PRDM1,HK2,CDKN1C,EGR1
MAP2K3,,0.948181594944448,0.6028932005494505,,,,0.9515765765765766,,,,,,,,0.8093764038634322,0.9228814267966361,,,,,,0.9249636627906976,,,,,,,,,,,,,,,,,,,,,0.9493430695142379,,0.9686778624192058,,,,,,,0.9636904761904762,0.9448541015120651,,,,,,,,,,,,,,,,,,,0.9555526129943503,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9919044384057971,,,,,
SLC38A2,,,,,,,,,,,,,,0.9563337250293773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SET,,0.9463187617204429,,,,,,0.9665032192043662,,,,0.9840924787427964,,0.9776742674538265,0.9750184128941645,0.969181482230516,,0.9835568573043523,,,,,,,,,,,,,0.9806426038890969,0.974393230906257,,,,0.9611775274687305,0.9649043541628712,,,,0.9877824318164226,0.9855280180614393,0.974864301467256,,,,,,,,,,0.9622872117862098,,,,,,,,0.9761930277667634,,,,,,,,0.9630079831794738,,,,0.9470519987343108,,,,,,,,,,,,,,0.9718307582907751,,,,,,,,,,,,,,,,,,
LHX1,,,,,,,,,,,,0.9878594553418396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9865716634694437,,,,,,,,,,,,,,,,,,,
TBX2,,,,,,,0.9583382833382833,,,,,0.9010306463722613,,,,,0.9451159104418466,,,,,,,0.9799565617628445,,,,,0.9739148626924179,,,0.9663582032003085,,,,,0.9491508491508491,,,0.9578834273435403,,,,,,,,,0.9801547137073453,,,,,,,,,,,,,,,,,0.9468909139640848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC4A1,,,,,,,,,,,,,,0.9802434012960328,,,,,,,,,,,,,,,0.9756589201795405,,0.9403315982263349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9617068517997309,,,,,,,,,,0.9756538336582197,,,0.9567559248999692,,,,,,,0.935655758306942,,,,,,,,,,,,,,,,,,,,,0.9579101261926746,,,0.8679712100764732
RREB1,,0.9245441458733206,,,,,,0.8066109422492401,,,,,,,,0.7590410734740631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.945839874411303,,,,,,,,,,,0.7731694828469022,,,,,,,,,,,,,0.7119341563786008,,,,,,,,,,,,,,,,,,,0.9390074211502782,,,
ZNF318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9017158605974395,,,,,,,,,,,,,,,,,,,,,,,,0.8669835089326615,,,,,,,
MAPK1,,,,,,,,,,0.8552894412269412,,,0.9704528179631915,,,,,,,,,,,,,,,,,,,,,,,,0.9744580944580945,,,,,,,,0.9697869614767121,,,,,,,,,,,,,,,,,,,,,0.948707243829195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL2A1,,,,,,,,,,0.9762163679096362,,,,0.9742777260018638,,,,,,,,,,,,,,,0.9643701195494437,,,,,,,,0.9672978056426332,,0.9467648198372725,,,,0.9551204297348813,,,0.9491267353336319,,,,,,,,,,,,,,,,,,,,,,,,,0.9778496168582376,,,,,,,,,,,,,,,,0.9562291434927697,,,,,,,,,,,,,,,,,,0.9427028451001054
ZBTB25,,0.9677996859186878,,,,,0.7613267813267814,0.7639922630560929,,,0.9034813248766737,0.9430576184379001,,,,0.7443785682916118,,,,0.8705083088954056,,,,0.9409709662065683,,,,,0.966631444707597,,0.9283616383616384,,,,0.9607862407862408,0.9703824451410659,,,,,,0.9540621403912544,,,,,,,0.96688995215311,,,,,,,,,,,,,0.7714795918367346,,,,,0.9841558441558441,,0.7981422924901186,,,,0.8815311004784689,0.8893062200956938,,,,,,0.9067379679144384,,,,,,,,,,,,,,,,,,0.8865947611710323,,,,0.9346399055489966,,,
MAP4K5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9295779685264663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC6A9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9394808213870592,,,,,,,,,0.9299974886991462,,,0.9627896613190731,,,,,,,,,,,,,,0.8812057702776266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDN,,,,,,,,,,,,,,0.976894541600424,,,,,,,,,,,,,,,,,0.9702927746441043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9351178673716678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSR2,,0.9798855782458626,,,,,0.9724741909291266,0.9752168751712172,,,,,,,,0.9669027084631466,0.9596276097970248,0.9649719379333114,,,,,,,,,,,0.9885436108268038,,,,,,,,,0.944563662374821,,,,0.9791383712717987,0.9446804839648889,,,0.9772587927094365,,,,,,,0.9659403543523717,,,,,,,,,0.9622643070710637,,,0.9339960050746349,,,,,,,,,,,,,,0.9437015035670637,,,,,,,,0.9628357330748996,,,,,,,,,,,,0.9115869616940281,,,,,,
DLX2,,0.9785077692335905,,,,,,0.9415566927013197,,,,,,,,,,,,,,,,,,,,,0.981291697318688,,,,,,,,0.9493440736478711,,,,0.969834845439235,,0.9535652948285732,,,,,,,,,,,,,,,,,,,0.9394866318318775,0.9651129125651419,,,,,,,,,,0.9247168554297136,,,,,,,0.9302264464981822,,,,,,,0.9276073963915935,,,,,,,,,,,,,,,,,,
CBFA2T3,,0.9610962682896247,0.9160495459754915,,,,0.9424826836887139,0.9467336683417086,,,,,,0.9452940377563493,0.956975046171026,0.9093462731757298,,,,,,0.8680028047212808,,,,,0.9496309673366834,,0.9802721019929306,,,,,,,0.9484318142436319,,,,,0.9435697802316302,0.964442465492017,,,,,,,,,,,,,,,0.828391959798995,,,,,0.8873047874101043,,,,,0.9837401292175161,,,,,0.9240867257636497,0.9119280613594287,,,,,,,,,,,,,,0.9296482412060302,,,,,,,,,,,,,,,0.9346733668341709,,,
HES7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOXL2,,0.9839537220665565,,,,,,,,,,,0.9560379480557349,,,0.9103768645705419,,,,,0.8214133932365977,,,0.9577018462386332,,0.987626379580031,0.9649122807017544,,,,,,,,0.9710555430777037,,,,0.9457245102963335,,,,,,,,,,,,,0.9305263157894736,0.9475104765963492,,,,,,,,,,,,,0.8791297885278021,,,,,,0.9164559727814715,,,,,,,,0.8788007169626854,,,,0.5232558139534883,,,,,,,,,,0.9312062815121863,,,,,,0.9208117547874263,,,,,
AHR,,,,,,,,,,,,,,,,,,,,,,,0.9109706083390293,,,,,,,,,,,,,0.9516942827287654,,,,,0.9776025119372759,,,,,,,0.9750728574257985,,,,,,,,,,,,0.9251621647787781,,,,,,,,,,,0.9707190957190958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOXO4,,,,,,,,0.8911534154535274,,,,0.955248290217068,,0.9366998577524892,,0.8470545630130372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9606709080393291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9487908961593172,,,,,0.864106988783434,,0.862399643175736,,,,,,0.9024291497975708,
RHOXF2BB,,,,,,,,,,,,,0.9509299564701226,,0.964820401094911,,,,,0.9250973415682062,,,,,,,,,,,,,,,,,,,0.9343434343434343,,,,,,,0.9667826726650255,,,,,,,,,,,,,,,0.9135472370766489,,,,,,,,,,,,,0.9404454764361885,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9533883728930168,,,
S1PR2,,,,,,,,,,0.953204476093591,,,,,,,,,,,,,,,,,,,,,0.9505313765182186,,,,,,0.924019138755981,,,,,,,,,,,,,,,,,,,,,,,0.891426282051282,,,0.9354066985645932,,,,,,,,,,,,,,,,,,0.9448047051726738,,,,,,,,,,,,,,,,,,0.8789473684210525,,,,,,
POU3F2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IER5L,,,,,,,0.8924478764478765,,,,0.9443189368770764,,,,,0.8876015727391874,,,,,,0.8707641196013288,,0.943530291697831,,,0.9564880952380952,,,,,,,,,,,,,,,,,,0.9106133755441235,,,,,,,,,,,,,,,,,,,0.9421834061135371,,,0.9883265306122448,,,,0.9663492063492064,,,,,,,,,,,,,,,,,,0.9173308270676692,,,,,,,,,,,,,0.9549536178107607,,,
CNN1,,0.9663262251492366,,,,,0.8308913308913309,0.8310342140129374,,,,,0.9036374799086664,,,0.841804886748707,0.8209294173233148,,,0.8910888770223808,,,,,,,0.9498560621276027,,0.9624156738385196,,,,,,,,,,,,0.9727239855995221,,,,0.945983379501385,,,,,,,,,,,,,,,,,0.8207438334340492,,,,0.8776824801215044,,,,0.8724381950188402,,,,0.9115336417967996,,,,,,,,,,,,,,,,,,,,,,0.8562721431573891,,,,,,0.9348370927318295,,,
CELF2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9062126642771804,,,,,,,,,0.8098402470130218,,,,,,,,,,,,,,0.8860146736252931,,,,,,,,,,,,,,,,,,,,,,,,,,
JUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEBPA,,,,0.9314940269343724,,,,,,0.9523002147620663,,,,0.9355032451806645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8997334803786416,,,,,,,,,,,0.9012247569184744,,,,,,,,,,,,,0.9758403361344538,0.9225859788359788,,,,,,,,,,,,,,,,,,,,,,,,,,
MAP4K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.831323283082077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6676767676767676,,,,,,,,,,,,,,,,,,,,,,,
ZC3HAV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDKN1A,,,,,,,0.907989307989308,,,,,0.9576892034519153,,,,0.9071478979735861,,,,,,,,,,,,,,,,,0.8961930926216639,,,,,,,,,,,,,,0.9444765760555235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9056410256410257,,,,0.935687263556116,,0.848284368692532,,,,,,,
UBASH3A,,,,,,,,0.6798281505728314,,,,0.9395088479595523,,,,0.6338425745151635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9127422098668104,,,0.9436361336032388,,,,,,,,,,,,,,0.8774766899766899,,,,,,0.8093716719914802,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7576598753469859,0.9312614967567044,,,,,,,,
PRTG,,0.9761026204234966,,,,,0.9267524208700679,,,,,,0.8916173155964114,,,0.9162353431781386,0.9141974530324046,,,0.6596473478826419,,,,,,,,,0.9731816574325121,,,0.9613784907902555,,,,,,,,,,,,,,,,0.9409842368319876,,,,,,,,,,,,,,,,,,0.9250554323725055,,,0.8936033429765348,,,,,0.8960385589642557,,,,,,,,,,,,,,,,,,,,,,0.8541246602963093,,,,,,0.950482672407806,,,
PTPN1,,0.9671348282322111,,,,,0.7684781380634956,0.7059812193794229,,,,,,,,0.7091865050387032,,,,,,,,,,,,,,,,,,,,,0.7514061163387511,,0.8845264017419705,,0.9577061036850504,0.9585872840306647,0.9065567357746818,,,,,,,,,,0.7904762951161897,,,,,,,,,,,,,,,,0.7745165406891136,0.7654491017964072,,,0.831389851875197,,,,,,,0.905625427346,,,,,,,0.8887671892396112,,,,0.916600133067199,,,,,,,,,,,,,,
TP73,,,,,,,,0.9039651837524179,,,,0.91743708269132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9581644470179502,,,,,,,0.9617224880382775,,,,,,,,,,,0.8571532634032635,,,,,,,,,,,,,,,,,,0.9131016042780749,,,0.828015108101068,,,,,,,,,,,,,,,0.8137108792846498,0.9070247933884297,,,,,,,,
MAP7D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9313786650031192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOSB,,0.9550878797318889,,0.9095422890565322,,,,,,,,,,0.882821565020518,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9116785184027506,,,,,,,,,,,,,0.794670425560478,,0.9009349289454002,,,,,,,,,,,,,,,,,,,,,,,0.8206136581094011,,,,,,,,,,,,,,,,,,,,,,,,,,
C19orf26,,,,,,,,,,,0.9009264511249764,,0.8534013136741537,,,,,0.8930581613508443,,,,0.790045377197958,,,,,,,,,0.9357946931117662,,,,0.9596718669889401,,,,,,,,,,0.8658333896358353,,,,,,,,0.8713034932547128,,,,,,,,0.9102647710969088,,,,,,,,,,,0.8789582472095907,,0.8634788189987164,,,,,,0.8448139083466959,0.8415402893283946,,,,,,,,,,,,,,,0.7461815273890443,,,,,,,,,0.7724202626641651
IRF1,,0.9949067726898821,,,,,,,,,,,,,,,,0.9844473007712082,,,,,,,,,,,,,,,,,,,0.9721298701298702,,,,,,0.9854630294328788,,,,,,,,,0.9887755102040817,,,,,,,,,,,,,,,,,,,,0.9893462469733656,,,,,,,,0.9701433514582304,0.9643471142038478,,,,,,,,,,,,,,,,,,,,,0.9857142857142858,,,
TMSB4X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPGM,,,,,,,0.8585880962930144,0.848180444134403,,,0.91904943448977,0.939367351650889,,,,0.7798746862461585,,,,0.8798929407828706,,,,,,,,,0.9653843205536756,,,,,,,,0.7996442687747036,,,,,,,,,,,,,,,,,,,,,,,0.7774053317969937,0.9196107653195406,0.7850397565524688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8447077690662865,,,,,,,,0.9081967213114754,
SAMD1,,,,,,,,,,,,,0.9046027985339085,,,,,,,,,,,0.9671695847172962,,,,,,,,,0.847926267281106,,,,,,,,,,,,,,,,,,,,0.8567227276904696,,,,,,,,,0.7805768022761704,,,,,,,,,,,,0.9036266742124128,,,,,,0.9239870521263535,0.8726577741481784,,,,,,,,,,,,,,0.8462526079281014,,,,,,,,,,
