,TSC22D1,ctrl,MAML2,CEBPE,DUSP9,ELMSAN1,FOXA1,BCORL1,MEIS1,GLB1L2,KLF1,BAK1,FEV,CBL,ETS2,SET,TBX3,LHX1,SLC4A1,RREB1,ZNF318,COL2A1,ZBTB25,MAP4K5,UBASH3B,SLC6A9,MIDN,DLX2,CBFA2T3,HES7,AHR,FOXO4,RHOXF2BB,RUNX1T1,S1PR2,POU3F2,CNN1,CELF2,MAP2K3,MAP4K3,CDKN1A,PTPN1,TBX2,IER5L,PTPN12,TP73,MAP7D1,FOSB,MAPK1,C19orf26,IRF1,IKZF3,HOXB9,HOXC13,CKS1B,CLDN6,FOXA3,SAMD1,COL1A1,FOXF1,ZBTB1,PRTG,PLK4,BPGM,ARRDC3,C3orf72,LYL1,MAP2K6,SGK1,FOXL2,KIAA1804,CEBPA,HNF4A,KMT2A,IGDCC3,ISL2,TMSB4X,KIF2C,CSRNP1,ARID1A,CNNM4,UBASH3A,NCL,BCL2L11,ZC3HAV1,OSR2,SPI1,STIL,CEBPB,ATL1,NIT1,CDKN1B,TGFBR2,JUN,ZBTB10,PTPN13,SLC38A2,PTPN9,SNAI1,HOXA13,CITED1,PRDM1,HK2,KIF18B,EGR1,CDKN1C
CLDN6,9,8,4,5,11,5,6,4,9,4,8,8,4,6,11,3,5,5,7,6,5,4,4,4,5,5,5,6,10,5,4,4,7,11,7,5,7,9,5,3,5,7,8,9,4,8,4,6,9,8,4,14,4,6,4,20,6,7,4,7,8,6,0,8,5,6,6,5,7,7,1,2,6,1,7,10,5,7,8,5,9,8,7,5,8,9,4,1,5,9,5,4,5,4,6,5,6,5,6,6,2,11,3,0,3,3
FOXA3,6,4,3,5,7,4,12,3,2,3,4,4,4,3,5,3,3,4,6,3,5,2,2,3,4,5,6,3,3,5,2,5,4,5,4,4,2,6,3,2,4,3,5,6,1,2,1,6,4,4,4,5,4,4,3,6,20,4,2,6,3,5,0,4,2,6,1,2,3,8,1,3,4,0,6,3,3,3,4,4,7,4,1,2,3,4,3,0,6,6,2,3,4,1,7,1,4,2,5,7,2,5,1,0,1,4
SAMD1,5,8,2,3,4,4,6,3,7,6,5,5,4,6,7,2,3,6,6,6,3,3,3,1,6,5,4,6,5,3,4,3,9,6,7,3,7,8,3,1,5,9,8,7,4,7,4,5,4,2,4,7,4,5,3,7,4,20,3,8,7,5,0,8,7,6,3,4,8,7,3,1,3,1,4,7,5,7,5,5,5,8,6,3,6,7,1,1,4,8,2,5,2,6,4,3,6,3,5,4,4,8,1,2,3,5
COL1A1,3,4,2,4,3,2,2,1,6,3,5,3,6,6,5,4,4,2,4,2,1,9,5,2,5,3,3,6,5,4,2,5,5,4,3,2,5,4,2,2,3,6,3,4,6,3,5,3,5,2,3,3,3,4,5,4,2,3,20,3,3,4,0,4,5,1,4,3,5,3,1,2,4,3,4,4,3,6,4,5,4,5,3,1,5,7,3,0,3,3,4,5,2,1,1,1,6,3,6,1,2,6,2,2,5,1
FOXF1,3,7,4,4,5,6,7,5,2,4,7,6,5,4,8,2,4,6,4,5,3,4,6,4,6,3,5,8,7,9,4,3,6,8,7,1,6,8,4,1,4,9,5,8,5,4,5,7,5,3,3,9,6,5,4,7,6,8,3,20,10,4,0,7,4,10,3,6,6,10,2,2,5,0,6,10,4,8,6,4,4,4,7,4,3,5,2,1,6,6,3,5,4,5,7,3,5,4,8,4,2,7,5,0,3,1
ZBTB1,6,6,4,7,6,7,7,5,6,5,7,7,7,7,8,6,5,4,7,4,3,4,7,3,5,4,3,7,9,6,4,4,6,8,8,3,7,8,5,2,5,7,8,9,6,4,3,5,6,5,5,11,3,5,4,8,3,7,3,10,20,6,0,11,5,4,7,5,4,6,3,5,5,0,5,8,2,8,6,5,6,7,7,4,5,8,3,1,7,5,7,5,5,6,4,4,5,3,10,5,2,9,4,2,4,3
PRTG,4,6,3,7,7,3,5,1,4,2,4,6,7,6,5,7,4,3,6,3,4,3,2,4,4,5,5,7,6,5,5,4,7,6,5,4,2,8,3,1,6,4,4,6,4,5,3,5,5,5,2,6,3,4,1,6,5,5,4,4,6,20,0,8,6,3,4,3,4,4,3,5,5,0,11,5,4,7,5,1,9,7,3,3,4,5,2,2,5,8,5,6,3,3,4,2,3,2,3,5,1,4,0,1,4,7
PLK4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BPGM,8,6,8,5,7,5,6,6,7,5,5,9,5,7,8,7,6,3,7,5,6,5,9,3,7,7,3,8,9,5,7,1,6,8,6,3,7,7,6,4,7,8,8,8,8,4,4,7,6,9,4,8,4,4,5,8,4,8,4,7,11,8,0,20,5,3,6,6,3,4,2,4,3,2,8,7,6,7,8,5,7,6,5,4,5,7,2,1,7,7,7,8,4,6,4,5,6,2,9,5,1,8,3,2,6,7
ARRDC3,4,6,4,4,2,3,3,3,4,4,3,4,4,6,5,6,6,4,4,3,3,3,4,5,5,1,3,6,4,2,3,2,8,5,3,4,3,5,3,1,3,3,4,4,4,5,3,4,2,2,4,6,5,6,3,5,2,7,5,4,5,6,0,5,20,4,6,2,6,3,1,3,1,3,5,4,9,9,6,3,3,9,2,4,6,3,3,2,4,5,2,4,4,2,3,3,4,7,4,4,3,4,4,4,6,3
C3orf72,6,7,5,4,4,5,4,6,4,2,4,7,2,2,4,2,4,4,4,2,6,1,3,1,3,5,7,4,3,4,4,2,7,7,4,2,3,6,5,1,6,6,2,8,4,7,6,5,2,2,3,8,8,5,5,6,6,6,1,10,4,3,0,3,4,20,2,7,7,13,0,2,5,0,3,8,3,6,7,4,4,5,5,6,7,3,2,2,3,6,5,3,5,5,6,2,7,4,3,4,2,6,1,0,3,2
LYL1,7,7,5,5,6,6,4,3,6,7,6,5,6,10,8,5,6,5,6,6,9,4,9,6,6,2,2,7,6,5,3,5,5,5,4,5,9,7,4,7,3,3,5,6,8,5,1,7,7,6,4,7,2,3,4,6,1,3,4,3,7,4,0,6,6,2,20,2,5,3,5,6,5,3,5,5,6,9,6,4,3,9,5,6,6,6,6,2,4,4,4,5,5,3,2,5,5,6,5,3,3,9,7,4,5,4
MAP2K6,4,12,14,1,3,10,1,8,7,2,7,16,4,3,3,5,1,2,5,1,4,2,4,2,4,3,4,2,3,3,5,5,5,7,2,2,4,1,17,2,8,12,3,6,4,7,17,2,2,7,1,6,4,4,7,5,2,4,3,6,5,3,0,6,2,7,2,20,6,3,0,0,9,2,2,10,3,7,10,7,5,2,6,12,9,5,6,1,2,6,9,5,10,7,3,2,12,3,3,4,2,6,2,1,4,4
SGK1,4,7,5,3,4,6,4,3,3,5,4,6,4,8,6,3,3,3,2,2,3,5,3,3,6,3,8,5,5,7,4,3,8,6,3,6,7,4,5,2,3,7,3,7,4,6,6,4,4,5,4,7,5,8,1,7,3,8,5,6,4,4,0,3,6,7,5,6,20,6,2,2,6,0,3,6,3,7,5,5,6,7,6,5,6,5,3,1,4,7,3,2,5,7,2,2,7,6,3,5,6,7,2,2,5,2
FOXL2,7,5,2,6,5,3,4,6,5,5,7,4,5,3,7,0,4,7,7,5,5,4,2,1,3,5,7,7,5,4,4,5,6,6,7,3,4,8,2,3,5,6,4,7,4,4,2,6,5,2,4,7,7,5,5,7,8,7,3,10,6,4,0,4,3,13,3,3,6,20,2,3,7,2,3,7,3,5,4,5,6,6,6,2,4,6,0,0,4,6,5,5,2,4,6,2,6,2,8,5,2,9,1,1,4,3
KIAA1804,4,3,0,3,3,2,3,1,2,2,3,1,3,2,2,2,2,4,3,2,1,2,1,1,2,0,1,4,3,1,0,4,3,2,1,2,1,3,0,2,1,2,1,2,2,0,0,3,1,1,0,3,1,2,1,1,1,3,1,2,3,3,0,2,1,0,5,0,2,2,12,1,3,1,2,3,2,4,1,2,2,3,3,1,0,2,1,1,2,3,0,2,0,2,2,0,1,1,2,2,2,3,1,2,1,1
CEBPA,4,2,3,12,6,5,5,1,4,4,2,2,6,6,5,4,5,3,3,5,6,2,5,6,5,4,3,3,4,5,4,0,1,3,3,4,5,5,3,4,0,0,3,5,6,3,0,8,6,6,4,3,3,4,2,2,3,1,2,2,5,5,0,4,3,2,6,0,2,3,1,20,3,1,6,0,4,4,4,2,5,6,3,2,2,5,8,1,10,4,3,3,4,1,3,1,0,6,2,4,2,1,4,1,2,1
HNF4A,6,8,8,3,5,6,3,2,7,4,8,9,8,1,4,3,2,2,7,2,4,3,0,0,0,3,5,5,3,5,6,10,4,5,2,2,2,4,9,3,5,9,2,3,1,6,9,5,3,6,3,6,2,5,6,6,4,3,4,5,5,5,0,3,1,5,5,9,6,7,3,3,20,4,3,9,4,6,5,7,8,4,7,7,6,6,6,0,3,7,9,4,5,4,4,1,9,2,4,4,2,6,1,2,1,4
KMT2A,3,3,3,1,1,2,0,1,4,2,3,2,3,0,1,1,3,2,3,2,1,3,1,0,0,0,0,3,1,0,1,3,1,0,0,1,1,1,2,2,0,3,2,1,2,3,2,2,1,3,2,1,0,1,5,1,0,1,3,0,0,0,0,2,3,0,3,2,0,2,1,1,4,7,2,3,4,4,2,3,1,1,3,2,3,2,2,0,0,3,4,2,1,1,1,1,4,0,3,0,1,2,0,2,4,1
IGDCC3,4,6,3,7,9,4,7,3,5,3,5,6,7,7,7,3,8,4,4,7,5,4,4,5,6,5,4,6,6,6,2,2,5,6,4,4,5,6,3,2,4,3,6,6,3,6,2,8,7,9,3,6,4,5,2,7,6,4,4,6,5,11,0,8,5,3,5,2,3,3,2,6,3,2,20,5,3,6,6,3,6,6,3,3,3,6,4,1,7,9,4,4,5,2,7,3,3,4,3,4,1,3,3,0,4,5
ISL2,7,12,8,2,4,9,3,5,8,4,9,11,6,3,7,5,2,6,6,3,4,3,4,1,4,3,6,8,7,4,3,6,7,10,5,1,5,7,8,3,7,12,4,7,4,9,10,6,4,4,2,12,4,5,9,10,3,7,4,10,8,5,0,7,4,8,5,10,6,7,3,0,9,3,5,20,5,10,9,6,6,6,8,9,8,8,4,2,3,7,6,5,7,6,4,2,10,3,5,5,3,10,4,1,2,4
TMSB4X,7,8,5,3,4,3,2,3,5,2,3,5,3,2,5,5,5,2,6,4,3,4,4,3,3,2,2,5,5,2,4,2,6,6,2,3,3,6,4,4,2,4,3,4,5,5,4,7,4,3,5,6,2,5,4,5,3,5,3,4,2,4,0,6,9,3,6,3,3,3,2,4,4,4,3,5,20,9,6,3,6,4,4,5,8,4,2,1,4,4,3,4,3,3,2,4,4,3,3,5,4,5,3,3,4,4
KIF2C,8,14,8,5,5,9,5,5,7,5,7,11,8,6,7,6,8,3,6,3,5,7,4,4,5,2,5,11,9,5,2,3,11,11,4,4,3,8,8,3,4,7,5,8,6,7,7,7,5,5,3,10,3,7,5,7,3,7,6,8,8,7,0,7,9,6,9,7,7,5,4,4,6,4,6,10,9,20,12,7,7,10,9,9,12,6,4,2,5,8,3,4,7,5,4,2,8,6,5,5,4,9,5,4,6,3
CSRNP1,7,14,13,4,6,11,5,6,6,3,7,14,5,5,5,4,6,2,5,2,7,4,6,2,5,4,8,5,6,6,4,3,10,11,2,3,3,5,12,2,5,6,5,9,5,9,9,7,4,5,1,9,5,9,5,8,4,5,4,6,6,5,0,8,6,7,6,10,5,4,1,4,5,2,6,9,6,12,20,7,6,9,5,11,11,5,4,1,5,8,4,3,11,5,6,2,11,7,4,9,3,6,4,1,4,3
ARID1A,7,8,8,2,3,8,3,4,6,3,6,8,8,5,4,1,4,5,5,2,5,5,4,2,5,2,5,8,6,4,3,6,8,6,3,5,6,3,8,3,5,9,4,7,4,6,7,6,3,5,6,5,3,5,6,5,4,5,5,4,5,1,0,5,3,4,4,7,5,5,2,2,7,3,3,6,3,7,7,20,5,4,3,7,8,7,5,0,5,7,4,4,6,5,4,2,7,4,5,4,5,7,1,2,5,2
CNNM4,7,6,5,7,9,4,5,2,6,3,4,7,8,4,5,7,6,3,6,4,4,5,2,1,3,5,5,6,7,6,4,3,7,9,5,4,3,9,5,3,5,5,5,7,3,7,6,8,5,7,3,10,3,6,3,9,7,5,4,4,6,9,0,7,3,4,3,5,6,6,2,5,8,1,6,6,6,7,6,5,20,6,5,3,5,8,2,0,7,8,6,5,4,3,4,1,6,4,4,7,2,7,2,3,4,4
UBASH3A,8,9,4,5,5,6,6,4,9,8,7,6,8,8,9,5,6,5,4,4,8,4,4,5,6,3,5,7,8,4,3,3,7,10,4,5,6,8,4,4,3,4,5,7,5,6,2,8,7,5,4,7,5,5,2,8,4,8,5,4,7,7,0,6,9,5,9,2,7,6,3,6,4,1,6,6,4,10,9,4,6,20,4,5,8,8,3,2,6,6,3,3,7,2,1,3,5,8,3,3,1,8,5,2,2,4
NCL,5,7,4,5,5,6,2,4,4,5,7,6,3,3,7,2,3,3,4,3,2,4,3,1,2,2,4,6,5,4,3,2,5,6,4,1,3,5,4,4,3,8,5,5,5,5,5,4,5,4,3,8,2,4,3,7,1,6,3,7,7,3,0,5,2,5,5,6,6,6,3,3,7,3,3,8,4,9,5,3,5,4,17,3,5,5,3,1,2,5,5,3,3,6,4,2,7,3,6,3,4,8,2,1,3,3
BCL2L11,5,13,14,0,2,11,3,6,6,2,5,14,5,4,4,3,3,2,4,2,8,1,3,4,5,1,5,3,3,4,4,5,6,8,1,3,3,2,14,3,6,6,2,5,3,7,10,3,3,6,2,5,2,5,4,5,2,3,1,4,4,3,0,4,4,6,6,12,5,2,1,2,7,2,3,9,5,9,11,7,3,5,3,20,9,3,6,2,3,6,6,2,11,5,3,3,8,5,1,5,2,5,4,2,3,5
ZC3HAV1,8,11,8,3,4,9,2,5,9,3,7,10,4,4,5,5,6,3,6,2,7,3,3,2,3,3,4,6,6,2,3,4,9,8,3,5,5,5,9,3,6,8,5,7,6,10,8,5,4,4,4,7,4,5,8,8,3,6,5,3,5,4,0,5,6,7,6,9,6,4,0,2,6,3,3,8,8,12,11,8,5,8,5,9,20,7,6,1,3,6,5,4,9,7,4,3,10,4,3,4,4,8,2,2,5,4
OSR2,9,8,3,6,6,4,4,4,8,3,8,6,8,6,9,4,5,4,6,4,4,5,6,3,7,6,4,7,8,3,2,5,6,8,6,5,7,11,5,5,5,10,9,7,7,7,5,10,9,5,5,8,2,6,7,9,4,7,7,5,8,5,0,7,3,3,6,5,5,6,2,5,6,2,6,8,4,6,5,7,8,8,5,3,7,20,5,0,8,6,5,5,3,5,6,3,5,4,6,4,1,9,4,1,3,2
SPI1,4,4,7,6,2,9,4,1,5,3,5,5,3,5,5,3,1,3,3,3,6,0,4,5,6,0,3,1,1,4,1,3,1,2,5,3,5,1,7,4,1,4,3,0,5,5,5,2,5,7,3,2,4,4,4,4,3,1,3,2,3,2,0,2,3,2,6,6,3,0,1,8,6,2,4,4,2,4,4,5,2,3,3,6,6,5,20,1,7,4,5,2,8,2,4,1,4,8,2,4,1,3,4,0,1,2
STIL,1,2,0,1,1,1,1,2,1,0,0,1,1,1,0,1,1,2,0,0,1,0,1,1,1,0,0,2,2,0,1,1,2,2,0,1,1,2,0,0,2,1,0,2,1,1,2,2,0,0,1,2,1,0,1,1,0,1,0,1,1,2,0,1,2,2,2,1,1,0,1,1,0,0,1,2,1,2,1,0,0,2,1,2,1,0,1,5,1,2,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1
CEBPB,7,5,4,10,5,6,9,2,3,3,4,5,7,6,7,4,5,3,6,4,6,3,5,6,8,4,3,5,6,5,2,1,3,5,5,3,6,8,4,3,2,3,6,5,5,3,2,9,8,7,6,4,4,7,2,5,6,4,3,6,7,5,0,7,4,3,4,2,4,4,2,10,3,0,7,3,4,5,5,5,7,6,2,3,3,8,7,1,20,4,4,3,4,2,4,4,1,6,4,6,2,4,4,1,2,2
ATL1,7,9,4,6,12,6,6,3,8,4,8,8,8,7,6,2,5,6,5,5,3,4,2,4,5,7,6,6,8,5,2,7,8,7,3,7,3,7,5,1,4,7,6,8,2,9,5,7,4,9,1,8,4,5,4,9,6,8,3,6,5,8,0,7,5,6,4,6,7,6,3,4,7,3,9,7,4,8,8,7,8,6,5,6,6,6,4,2,4,20,5,3,4,3,6,4,6,5,4,5,2,6,1,2,3,3
NIT1,5,6,8,4,3,5,2,4,8,3,6,9,6,2,3,6,2,3,6,2,4,3,3,1,3,8,2,2,3,3,6,6,1,3,2,2,3,5,8,3,4,7,4,2,4,6,8,3,3,8,6,3,3,3,5,5,2,2,4,3,7,5,0,7,2,5,4,9,3,5,0,3,9,4,4,6,3,3,4,4,6,3,5,6,5,5,5,1,4,5,20,3,4,5,3,3,9,2,6,2,1,5,1,1,4,4
CDKN1B,3,3,4,5,5,2,3,4,5,5,3,4,4,5,5,6,3,5,7,5,2,4,7,3,4,4,2,7,5,5,4,4,4,4,5,3,6,4,3,3,14,8,5,7,5,3,5,3,4,3,3,7,5,1,6,4,3,5,5,5,5,6,0,8,4,3,5,5,2,5,2,3,4,2,4,5,4,4,3,4,5,3,3,2,4,5,2,1,3,3,3,20,1,2,2,1,5,0,7,3,2,6,3,3,5,12
TGFBR2,4,9,12,3,3,12,4,6,4,4,7,11,4,6,6,4,3,2,4,5,9,1,5,6,6,1,7,1,2,5,2,2,4,7,4,2,4,0,11,5,3,4,2,4,4,5,8,3,5,8,3,4,5,4,3,5,4,2,2,4,5,3,0,4,4,5,5,10,5,2,0,4,5,1,5,7,3,7,11,6,4,7,3,11,9,3,8,0,4,4,4,1,20,5,3,2,9,7,1,4,3,4,4,1,4,3
JUN,4,6,6,1,2,5,1,5,4,2,6,6,1,4,5,2,2,3,5,3,4,1,5,2,4,3,5,4,4,3,4,1,5,4,3,3,5,4,5,4,4,6,4,5,7,6,4,4,3,2,5,4,5,4,4,4,1,6,1,5,6,3,0,6,2,5,3,7,7,4,2,1,4,1,2,6,3,5,5,5,3,2,6,5,7,5,2,0,2,3,5,2,5,20,3,3,6,1,4,4,5,6,1,1,5,4
ZBTB10,3,4,4,4,5,3,4,4,2,0,4,4,3,3,3,1,4,6,4,2,5,2,4,1,6,5,5,4,2,7,4,3,7,4,3,3,3,4,4,2,3,4,6,4,4,4,3,5,3,2,2,5,5,8,3,6,7,4,1,7,4,4,0,4,3,6,2,3,2,6,2,3,4,1,7,4,2,4,6,4,4,1,4,3,4,6,4,0,4,6,3,2,3,3,20,0,3,4,7,7,3,3,2,0,2,0
PTPN13,4,3,2,3,3,3,3,2,4,3,3,3,2,6,4,1,2,3,3,5,5,2,5,3,6,2,3,2,5,3,3,3,2,2,2,2,5,4,2,2,2,3,5,5,6,2,0,5,5,4,3,3,2,1,2,5,1,3,1,3,4,2,0,5,3,2,5,2,2,2,0,1,1,1,3,2,4,2,2,2,1,3,2,3,3,3,1,1,4,4,3,1,2,3,0,16,2,3,3,1,2,6,3,1,4,4
SLC38A2,5,11,11,3,3,9,3,5,7,4,9,13,4,3,4,6,2,2,9,3,4,4,3,0,1,4,5,3,2,5,5,8,9,6,3,1,2,4,11,2,7,11,4,7,3,9,12,3,3,6,3,7,5,4,8,6,4,6,6,5,5,3,0,6,4,7,5,12,7,6,1,0,9,4,3,10,4,8,11,7,6,5,7,8,10,5,4,0,1,6,9,5,9,6,3,2,20,2,5,5,3,8,2,3,6,6
PTPN9,3,5,6,6,2,6,4,2,4,5,2,4,3,7,4,4,4,4,1,3,5,3,5,5,10,1,7,2,4,5,4,0,3,5,4,4,6,2,5,2,0,3,5,3,8,5,4,4,2,5,2,3,5,8,0,5,2,3,3,4,3,2,0,2,7,4,6,3,6,2,1,6,2,0,4,3,3,6,7,4,4,8,3,5,4,4,8,0,6,5,2,0,7,1,4,3,2,20,0,5,3,4,7,1,2,0
SNAI1,5,2,3,5,4,4,4,3,4,5,5,3,4,6,5,3,4,5,8,4,2,8,7,1,5,3,4,8,6,6,2,5,6,4,6,3,5,5,1,4,4,5,6,6,5,1,1,4,4,2,4,7,5,3,5,6,5,5,6,8,10,3,0,9,4,3,5,3,3,8,2,2,4,3,3,5,3,5,4,5,4,3,6,1,3,6,2,1,4,4,6,7,1,4,7,3,5,0,20,4,5,10,2,3,6,2
HOXA13,4,6,7,6,7,7,6,2,2,1,2,6,3,5,4,4,3,2,5,2,4,1,4,2,5,4,8,1,3,7,4,5,7,6,2,3,2,5,6,3,3,4,5,7,5,5,4,5,3,3,3,8,6,15,2,6,7,4,1,4,5,5,0,5,4,4,3,4,5,5,2,4,4,0,4,5,5,5,9,4,7,3,3,5,4,4,4,0,6,5,2,3,4,4,7,1,5,5,4,20,5,3,3,1,1,3
CITED1,3,3,3,3,1,2,1,0,3,1,2,2,3,5,1,2,3,3,3,3,1,3,4,0,4,1,5,4,5,5,3,2,5,2,1,4,3,3,2,3,3,3,3,5,3,4,3,3,0,1,2,4,5,5,2,2,2,4,2,2,2,1,0,1,3,2,3,2,6,2,2,2,2,1,1,3,4,4,3,5,2,1,4,2,4,1,1,0,2,2,1,2,3,5,3,2,3,3,5,5,20,5,1,3,5,3
PRDM1,11,9,4,5,6,6,3,6,9,7,8,7,4,7,7,5,4,5,9,6,6,7,7,1,6,4,5,9,10,4,2,5,8,10,8,5,9,9,4,5,8,9,8,10,7,7,4,7,5,3,5,11,5,4,7,11,5,8,6,7,9,4,0,8,4,6,9,6,7,9,3,1,6,2,3,10,5,9,6,7,7,8,8,5,8,9,3,1,4,6,5,6,4,6,3,6,8,4,10,3,5,20,4,3,6,6
HK2,2,4,4,2,2,4,2,3,4,4,3,3,2,5,5,4,2,4,1,5,4,2,6,6,7,1,2,3,3,6,2,1,1,5,2,2,5,2,4,4,1,3,4,3,5,3,2,3,4,4,2,4,3,3,2,3,1,1,2,5,4,0,0,3,4,1,7,2,2,1,1,4,1,0,3,4,3,5,4,1,2,5,2,4,2,4,4,0,4,1,1,3,4,1,2,3,2,7,2,3,1,4,17,1,3,1
KIF18B,2,2,2,2,1,0,1,0,2,1,0,1,4,3,0,4,3,2,4,2,0,3,2,1,2,0,0,4,2,1,1,2,4,1,0,2,1,3,1,1,2,1,2,2,2,0,2,2,0,2,1,2,1,1,2,0,0,2,2,0,2,1,0,2,4,0,4,1,2,1,2,1,2,2,0,1,3,4,1,2,3,2,1,2,2,1,0,1,1,2,1,3,1,1,0,1,3,1,3,1,3,3,1,7,3,2
EGR1,4,3,5,4,2,3,1,5,4,2,3,5,3,6,3,5,6,3,8,5,3,8,6,4,5,2,3,6,6,5,6,1,5,4,4,5,6,3,4,2,4,2,4,8,6,3,2,3,4,5,5,3,4,2,5,3,1,3,5,3,4,4,0,6,6,3,5,4,5,4,1,2,1,4,4,2,4,6,4,5,4,2,3,3,5,3,1,0,2,3,4,5,4,5,2,4,6,2,6,1,5,6,3,3,18,3
CDKN1C,5,5,5,3,3,3,3,2,4,4,3,6,2,3,3,5,1,1,6,5,5,1,2,2,1,2,3,2,2,4,5,4,4,3,3,1,2,4,4,2,15,4,4,4,2,4,3,3,3,4,2,3,3,1,3,3,4,5,1,1,3,7,0,7,3,2,4,4,2,3,1,1,4,1,5,4,4,3,3,2,4,4,3,5,4,2,2,1,2,3,4,12,3,4,0,4,6,0,2,3,3,6,1,2,3,20
